"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"394506329","2019-12-31T00:00:00.000","17:30:00",,,"32","2019-12-31T00:00:00.000","118","DANGEROUS WEAPONS","793.0","WEAPONS POSSESSION 3","COMPLETED","FELONY","MANHATTAN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"999937","238365",,,,,"40.82092679700002","-73.94332421899996","(40.82092679700002, -73.94332421899996)","PATROL BORO MAN NORTH",,"UNKNOWN","UNKNOWN","E"
"968873685","2019-12-29T00:00:00.000","16:31:00","2019-12-29T00:00:00.000","16:54:00","47","2019-12-29T00:00:00.000","113","FORGERY","729.0","FORGERY,ETC.,UNCLASSIFIED-FELO","COMPLETED","FELONY","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1022508","261990",,,,,"40.885701406000074","-73.86164032499995","(40.885701406000074, -73.86164032499995)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
"509837549","2019-12-15T00:00:00.000","18:45:00",,,"109","2019-12-29T00:00:00.000","578","HARRASSMENT 2","638.0","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT","0.0",,,,"1034178","209758","25-44","UNKNOWN","M",,"40.74228115600005","-73.81982408","(40.74228115600005, -73.81982408)","PATROL BORO QUEENS NORTH",,"25-44","WHITE HISPANIC","F"
"352454313","2019-12-28T00:00:00.000","01:00:00",,,"47","2019-12-28T00:00:00.000","126","MISCELLANEOUS PENAL LAW","117.0","RECKLESS ENDANGERMENT 1","COMPLETED","FELONY","BRONX","REAR OF","STREET","N.Y. POLICE DEPT","0.0",,,,"1026412","258211","18-24","BLACK","M",,"40.87531145100007","-73.84754521099995","(40.87531145100007, -73.84754521099995)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
"248803469","2008-09-05T00:00:00.000","21:41:00",,,,"2008-09-05T00:00:00.000","101","MURDER & NON-NEGL. MANSLAUGHTER",,,"COMPLETED","FELONY",,"OUTSIDE",,"N.Y. POLICE DEPT",,"NA",,"NA","1001215","193881",,,,,"40.698827283","-73.938819047","(40.698827283, -73.938819047)",,,"25-44","BLACK","M"
"293718737","2019-12-27T00:00:00.000","22:00:00",,,"9","2019-12-27T00:00:00.000","107","BURGLARY","223.0","BURGLARY,RESIDENCE,NIGHT","ATTEMPTED","FELONY","MANHATTAN","FRONT OF","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0.0",,,,"989665","201866",,,,,"40.72075882100006","-73.98046642299995","(40.72075882100006, -73.98046642299995)","PATROL BORO MAN SOUTH",,"UNKNOWN","UNKNOWN","M"
"552685226","2019-12-27T00:00:00.000","20:10:00","2019-12-27T00:00:00.000","20:15:00","79","2019-12-27T00:00:00.000","117","DANGEROUS DRUGS","521.0","CONTROLLED SUBSTANCE, SALE 5","COMPLETED","FELONY","BROOKLYN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1001545","192836",,,,,"40.695958362000056","-73.93763162199998","(40.695958362000056, -73.93763162199998)","PATROL BORO BKLYN NORTH",,"UNKNOWN","UNKNOWN","E"
"134037758","2019-12-26T00:00:00.000","20:00:00","2019-12-27T00:00:00.000","07:15:00","101","2019-12-27T00:00:00.000","341","PETIT LARCENY","321.0","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT","0.0",,,,"1054394","162186",,,,,"40.61157006600007","-73.74736517199995","(40.61157006600007, -73.74736517199995)","PATROL BORO QUEENS SOUTH",,"25-44","WHITE HISPANIC","F"
"855385879","2019-12-26T00:00:00.000","19:57:00",,,"44","2019-12-26T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639.0","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1007027","245405","18-24","BLACK","F",,"40.84023413800003","-73.91768411399994","(40.84023413800003, -73.91768411399994)","PATROL BORO BRONX",,"18-24","BLACK","F"
"241602326","2019-12-25T00:00:00.000","23:00:00","2019-12-26T00:00:00.000","14:25:00","20","2019-12-26T00:00:00.000","341","PETIT LARCENY","321.0","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","MANHATTAN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"987147","220853",,,,,"40.77287456000005","-73.98954212299998","(40.77287456000005, -73.98954212299998)","PATROL BORO MAN NORTH",,"45-64","BLACK","M"
